
Detailed
 ==================== 
Variable,Value,Unit,Category,Collection,Image,Time,ID,
Ellipticity (prolate),0.316388,,Surface,,,1,324,
Ellipticity (prolate),0.305501,,Surface,,,1,325,
Ellipticity (prolate),0.552095,,Surface,,,1,326,
Ellipticity (prolate),0.222618,,Surface,,,1,328,
Ellipticity (prolate),0.832691,,Surface,,,1,329,
Ellipticity (prolate),0.216936,,Surface,,,1,330,
Ellipticity (prolate),0.348212,,Surface,,,1,331,
Ellipticity (prolate),0.410311,,Surface,,,1,332,
Ellipticity (prolate),0.45116,,Surface,,,1,333,
Ellipticity (prolate),0.239438,,Surface,,,1,334,
Generation,0,,Surface,,,1,297,
Generation,0,,Surface,,,1,298,
Generation,0,,Surface,,,1,299,
Generation,0,,Surface,,,1,300,
Generation,0,,Surface,,,1,303,
Generation,0,,Surface,,,1,308,
Generation,0,,Surface,,,1,314,
Generation,0,,Surface,,,1,318,
Generation,0,,Surface,,,1,319,
Generation,0,,Surface,,,1,320,
Generation,0,,Surface,,,1,322,
Generation,0,,Surface,,,1,324,
Generation,0,,Surface,,,1,325,
Generation,0,,Surface,,,1,326,
Generation,0,,Surface,,,1,328,
Generation,0,,Surface,,,1,329,
Generation,0,,Surface,,,1,330,
Generation,0,,Surface,,,1,331,
Generation,0,,Surface,,,1,332,
Generation,0,,Surface,,,1,333,
Generation,0,,Surface,,,1,334,
Number of Disconnected Components,1,,Surface,,,1,297,
Number of Disconnected Components,1,,Surface,,,1,298,
Number of Disconnected Components,1,,Surface,,,1,299,
Number of Disconnected Components,1,,Surface,,,1,300,
Number of Disconnected Components,1,,Surface,,,1,303,
Number of Disconnected Components,1,,Surface,,,1,308,
Number of Disconnected Components,1,,Surface,,,1,314,
Number of Disconnected Components,1,,Surface,,,1,318,
Number of Disconnected Components,1,,Surface,,,1,319,
Number of Disconnected Components,1,,Surface,,,1,320,
Number of Disconnected Components,1,,Surface,,,1,322,
Number of Disconnected Components,1,,Surface,,,1,324,
Number of Disconnected Components,1,,Surface,,,1,325,
Number of Disconnected Components,1,,Surface,,,1,326,
Number of Disconnected Components,1,,Surface,,,1,328,
Number of Disconnected Components,1,,Surface,,,1,329,
Number of Disconnected Components,1,,Surface,,,1,330,
Number of Disconnected Components,1,,Surface,,,1,331,
Number of Disconnected Components,1,,Surface,,,1,332,
Number of Disconnected Components,1,,Surface,,,1,333,
Number of Disconnected Components,1,,Surface,,,1,334,
Position X,53.8356,um,Surface,Position,,1,297,
Position X,78.5122,um,Surface,Position,,1,298,
Position X,72.6527,um,Surface,Position,,1,299,
Position X,78.8667,um,Surface,Position,,1,300,
Position X,54.1251,um,Surface,Position,,1,303,
Position X,61.4087,um,Surface,Position,,1,308,
Position X,78.4526,um,Surface,Position,,1,314,
Position X,39.5562,um,Surface,Position,,1,318,
Position X,30.8073,um,Surface,Position,,1,319,
Position X,45.3532,um,Surface,Position,,1,320,
Position X,65.6349,um,Surface,Position,,1,322,
Position X,65.9584,um,Surface,Position,,1,324,
Position X,87.875,um,Surface,Position,,1,325,
Position X,52.1793,um,Surface,Position,,1,326,
Position X,33.532,um,Surface,Position,,1,328,
Position X,67.0357,um,Surface,Position,,1,329,
Position X,50.1099,um,Surface,Position,,1,330,
Position X,53.9137,um,Surface,Position,,1,331,
Position X,63.9978,um,Surface,Position,,1,332,
Position X,84.3558,um,Surface,Position,,1,333,
Position X,70.9789,um,Surface,Position,,1,334,
Position Y,34.4378,um,Surface,Position,,1,297,
Position Y,38.0746,um,Surface,Position,,1,298,
Position Y,30.4721,um,Surface,Position,,1,299,
Position Y,27.7023,um,Surface,Position,,1,300,
Position Y,24.7703,um,Surface,Position,,1,303,
Position Y,5.14622,um,Surface,Position,,1,308,
Position Y,41.3411,um,Surface,Position,,1,314,
Position Y,33.7757,um,Surface,Position,,1,318,
Position Y,27.3816,um,Surface,Position,,1,319,
Position Y,37.32,um,Surface,Position,,1,320,
Position Y,39.5471,um,Surface,Position,,1,322,
Position Y,9.70441,um,Surface,Position,,1,324,
Position Y,4.67573,um,Surface,Position,,1,325,
Position Y,20.6856,um,Surface,Position,,1,326,
Position Y,6.38333,um,Surface,Position,,1,328,
Position Y,35.2669,um,Surface,Position,,1,329,
Position Y,22.6432,um,Surface,Position,,1,330,
Position Y,26.5942,um,Surface,Position,,1,331,
Position Y,25.3202,um,Surface,Position,,1,332,
Position Y,13.5396,um,Surface,Position,,1,333,
Position Y,20.9114,um,Surface,Position,,1,334,
Position Z,14.5831,um,Surface,Position,,1,297,
Position Z,14.7875,um,Surface,Position,,1,298,
Position Z,14.2692,um,Surface,Position,,1,299,
Position Z,13.7196,um,Surface,Position,,1,300,
Position Z,14.7756,um,Surface,Position,,1,303,
Position Z,14.684,um,Surface,Position,,1,308,
Position Z,12.0561,um,Surface,Position,,1,314,
Position Z,9.21163,um,Surface,Position,,1,318,
Position Z,10.9224,um,Surface,Position,,1,319,
Position Z,11.5828,um,Surface,Position,,1,320,
Position Z,8.32268,um,Surface,Position,,1,322,
Position Z,9.61454,um,Surface,Position,,1,324,
Position Z,12.2519,um,Surface,Position,,1,325,
Position Z,11.932,um,Surface,Position,,1,326,
Position Z,9.76562,um,Surface,Position,,1,328,
Position Z,8.27603,um,Surface,Position,,1,329,
Position Z,5.30724,um,Surface,Position,,1,330,
Position Z,5.45187,um,Surface,Position,,1,331,
Position Z,5.03081,um,Surface,Position,,1,332,
Position Z,7.44062,um,Surface,Position,,1,333,
